Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TCmp,TAtt,TCmp%,TotDist,PrgDist,SCmp,SAtt,SCmp%,MCmp,MAtt,MCmp%,LCmp,LAtt,LCmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
248,Chris Bedia,ci CIV,FWMF,Union Berlin,Bundesliga,27,1996,1.6,14,20,70.0,140,19,10,13,76.9,3,5,60.0,0,0,,0,0.2,0.2,-0.2,3,0,0,0,1,Matches,ec11ecf8
249,Donny van de Beek,nl NED,DF,Manchester United,Premier League,26,1997,0.0,1,1,100.0,7,0,1,1,100.0,0,0,,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,Matches,50dc94ce
250,Donny van de Beek,nl NED,MFFW,Eintracht Frankfurt,Bundesliga,26,1997,4.0,109,139,78.4,1428,365,67,75,89.3,30,38,78.9,3,6,50.0,0,0.4,0.6,-0.4,3,8,2,0,10,Matches,50dc94ce
251,Yanis Begraoui,ma MAR,FWMF,Toulouse,Ligue 1,22,2001,3.3,70,97,72.2,881,201,37,45,82.2,26,36,72.2,0,2,0.0,0,0.1,0.1,-0.1,2,8,1,0,8,Matches,5e6355f8
252,Kevin Behrens,de GER,FW,Wolfsburg,Bundesliga,32,1991,6.8,112,175,64.0,1539,251,63,93,67.7,36,48,75.0,3,9,33.3,1,0.9,0.9,+0.1,8,9,8,1,17,Matches,30ae134d
253,Kevin Behrens,de GER,FW,Union Berlin,Bundesliga,32,1991,14.0,215,336,64.0,3380,842,116,162,71.6,67,97,69.1,22,34,64.7,0,0.9,1.2,-0.9,16,24,7,0,45,Matches,30ae134d
254,Maximilian Beier,de GER,FWMF,Hoffenheim,Bundesliga,20,2002,26.9,384,550,69.8,4753,790,241,299,80.6,101,152,66.4,7,17,41.2,1,2.4,3.0,-1.4,24,7,27,9,30,Matches,5db45ee5
255,Jérémie Bela,ao ANG,MFFW,Clermont Foot,Ligue 1,30,1993,2.3,70,100,70.0,1031,311,37,46,80.4,26,38,68.4,4,8,50.0,0,0.1,0.2,-0.1,3,7,3,1,10,Matches,5680bf3f
256,Reda Belahyane,ma MAR,MF,Verona,Serie A,19,2004,1.0,23,25,92.0,298,88,14,14,100.0,6,6,100.0,1,2,50.0,0,0.0,0.0,0.0,0,2,0,0,4,Matches,705a1642
257,Reda Belahyane,ma MAR,MF,Nice,Ligue 1,19,2004,0.3,13,15,86.7,183,17,9,10,90.0,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,1,1,0,1,Matches,705a1642
258,Amari'i Bell,jm JAM,DF,Luton Town,Premier League,29,1994,19.1,645,835,77.2,10680,4470,324,372,87.1,270,315,85.7,44,108,40.7,0,0.5,0.4,-0.5,8,63,8,0,76,Matches,399e9474
259,Stefan Bell,de GER,DF,Mainz 05,Bundesliga,31,1991,7.4,297,370,80.3,5526,2509,122,137,89.1,141,163,86.5,31,60,51.7,0,0.1,0.3,-0.1,1,16,3,1,23,Matches,857a5abe
260,Alaa Bellaarouch,ma MAR,GK,Strasbourg,Ligue 1,21,2002,15.0,352,504,69.8,9261,5681,63,63,100.0,189,196,96.4,97,238,40.8,0,0.0,0.0,0.0,1,11,1,0,0,Matches,0595569d
261,Raoul Bellanova,it ITA,DF,Torino,Serie A,23,2000,33.8,1232,1579,78.0,20583,5976,601,675,89.0,488,607,80.4,109,190,57.4,7,5.0,4.5,+2.0,52,61,47,37,98,Matches,e3756e72
262,Jean-Ricner Bellegarde,fr FRA,MFFW,Wolves,Premier League,25,1998,10.6,241,314,76.8,3452,786,144,161,89.4,76,98,77.6,14,29,48.3,1,1.0,0.8,0.0,12,17,7,0,39,Matches,10f0fdd3
263,Jean-Ricner Bellegarde,fr FRA,MFFW,Strasbourg,Ligue 1,25,1998,3.0,67,96,69.8,1138,298,30,38,78.9,32,43,74.4,5,10,50.0,2,1.5,1.1,+0.5,3,10,1,0,11,Matches,10f0fdd3
264,Héctor Bellerín,es ESP,DF,Real Betis,La Liga,28,1995,19.0,756,979,77.2,11447,4836,407,469,86.8,297,381,78.0,31,73,42.5,1,1.6,1.2,-0.6,15,56,15,4,81,Matches,f874dd44
265,Jude Bellingham,eng ENG,MF,Real Madrid,La Liga,20,2003,25.7,1363,1543,88.3,19609,4025,856,930,92.0,387,428,90.4,76,90,84.4,6,5.3,4.3,+0.7,48,137,45,3,196,Matches,57d88cf9
266,Jeanuël Belocian,fr FRA,DF,Rennes,Ligue 1,18,2005,16.1,759,862,88.1,14203,4121,239,273,87.5,415,452,91.8,74,94,78.7,1,0.4,0.3,+0.6,6,57,3,1,60,Matches,c678ddd7
267,Andrea Belotti,it ITA,FW,Fiorentina,Serie A,29,1993,10.5,133,201,66.2,1754,337,82,114,71.9,37,53,69.8,3,8,37.5,0,0.7,0.6,-0.7,5,7,4,1,15,Matches,d705ba44
268,Andrea Belotti,it ITA,FW,Roma,Serie A,29,1993,7.5,115,155,74.2,1521,212,72,86,83.7,31,41,75.6,5,7,71.4,2,1.2,0.9,+0.8,8,2,1,0,8,Matches,d705ba44
269,Fran Beltrán,es ESP,MF,Celta Vigo,La Liga,24,1999,27.0,1180,1364,86.5,18451,5360,602,662,90.9,473,525,90.1,64,104,61.5,0,1.1,1.7,-1.1,18,120,15,2,134,Matches,ed5c5fa3
270,Lucas Beltrán,ar ARG,FWMF,Fiorentina,Serie A,22,2001,18.8,360,459,78.4,5213,1095,201,246,81.7,118,137,86.1,21,28,75.0,2,1.5,1.9,+0.5,25,25,19,0,49,Matches,482d2bc3
271,Eliesse Ben Seghir,ma MAR,MFFW,Monaco,Ligue 1,18,2005,4.8,174,215,80.9,2671,572,90,104,86.5,63,75,84.0,9,18,50.0,1,0.5,0.6,+0.5,5,14,6,1,21,Matches,3bd65247
272,Anis Ben Slimane,tn TUN,MF,Sheffield United,Premier League,22,2001,4.7,92,139,66.2,1322,373,47,70,67.1,35,43,81.4,4,5,80.0,0,0.3,0.1,-0.3,3,6,2,0,12,Matches,9ade9ce1
273,Wissam Ben Yedder,fr FRA,FW,Monaco,Ligue 1,32,1990,25.7,555,752,73.8,7382,1881,345,430,80.2,149,210,71.0,22,33,66.7,2,4.3,5.7,-2.3,37,53,34,1,96,Matches,942b4f90
274,Carlos Benavídez,uy URU,MF,Alaves,La Liga,25,1998,12.6,321,459,69.9,5838,1863,147,179,82.1,130,178,73.0,37,84,44.0,1,0.5,0.7,+0.5,6,45,9,0,60,Matches,9fb45456
275,Ismaël Bennacer,dz ALG,MF,AC Milan,Serie A,25,1997,12.8,711,818,86.9,10751,2872,388,414,93.7,251,286,87.8,41,68,60.3,2,2.5,1.6,-0.5,17,66,11,3,68,Matches,db092d3b
276,Saïd Benrahma,dz ALG,FWMF,West Ham,Premier League,27,1995,6.9,193,257,75.1,2587,504,116,138,84.1,56,76,73.7,8,15,53.3,1,1.4,0.8,-0.4,11,11,11,2,28,Matches,5a04fd92
